Seasonal Variation (Data Source),Simulation Run Number,T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Season,Frequency,RIS Gain (dB),RIS Path Loss (dB)
FallH,2,415.6,1474,-159.6,0.5,292,-2.9,232.4,1,186.6,16.1,0,24.25,18.7806,167.8194
FallH,2,415.6,1492,-158.1,3.2,298,-9.0,225.3,3,185.6,26.9,0,24.25,11.0961,174.5039
FallH,2,415.6,1504,-159.4,6.2,296,-5.5,223.6,-5,182.9,56.8,0,24.25,11.3229,171.5771
FallH,2,415.6,1575,-159.5,0.5,294,-4.2,222.3,-8,183.7,73.1,0,24.25,12.0062,171.6938
FallH,3,50.0,167,-126.1,4.9,94,0.7,252.4,6,155.9,16.1,0,24.25,108.3795,47.5205
FallH,3,50.0,170,-111.5,2.6,305,-2.4,235.9,5,141.5,2.7,0,24.25,41.6447,99.8553
FallH,3,50.0,177,-116.2,0.7,183,2.2,242.6,6,146.2,8.7,0,24.25,59.2767,86.9233
FallH,3,50.0,184,-120.3,5.0,83,-2.2,255.0,15,150.3,1.3,0,24.25,116.3983,33.9017
FallH,3,50.0,193,-126.7,2.2,96,-0.7,239.4,12,156.7,3.8,0,24.25,94.7802,61.9198
FallH,3,50.0,204,-122.7,4.4,56,-17.9,245.5,6,152.5,21.1,0,24.25,117.064,35.436
FallH,3,50.0,215,-118.6,4.1,298,-4.7,246.4,4,148.3,11.1,0,24.25,74.1179,74.1821
FallH,3,50.0,226,-129.5,0.0,187,1.6,230.1,-1,159.2,18.4,0,24.25,87.5876,71.6124
FallH,3,50.0,239,-138.2,1.6,56,-9.3,238.0,8,162.1,66.4,0,24.25,120.63,41.47
FallH,3,50.0,252,-139.8,1.5,292,-1.0,254.8,3,162.7,56.3,0,24.25,96.7391,65.9609
FallH,3,50.0,266,-148.2,5.2,310,-2.6,258.3,10,171.7,43.4,0,24.25,75.7713,95.9287
FallH,3,50.0,281,-140.0,3.2,90,-1.8,252.4,2,160.0,45.7,0,24.25,117.3545,42.6455
FallH,3,50.0,296,-149.9,2.4,275,-10.1,230.3,-5,178.4,57.6,0,24.25,88.1247,90.2753
FallH,3,50.0,338,-120.9,4.1,59,-10.8,254.1,2,150.8,13.5,0,24.25,122.0298,28.7702
FallH,3,50.0,342,-118.0,1.0,64,-8.0,240.3,-1,148.0,7.4,0,24.25,126.3598,21.6402
FallH,3,50.0,347,-126.4,3.6,191,-1.3,249.2,-7,156.2,11.8,0,24.25,66.8765,89.3235
FallH,3,50.0,353,-125.4,3.6,292,3.5,240.1,-3,155.3,24.6,0,24.25,78.5215,76.7785
FallH,3,50.0,361,-136.0,2.8,280,-7.9,244.9,-1,165.2,64.6,0,24.25,104.4906,60.7094
FallH,3,50.0,369,-136.6,1.7,176,0.9,245.4,2,154.3,47.4,0,24.25,45.0975,109.2025
